id,Name,Location,Pincode,Category,Total beds ICU,Total beds normal,Total beds ventilation,Available beds ICU,Available beds normal,Available beds ventilation
915,Johns Hopkins All Children's Hospital,"Saint Petersburg, FL",,Unknown,487,205,52,276,184,32
916,Nicklaus Children's Hospital,"Miami, FL",,Private,231,358,70,46,223,27
917,Shriners Hospitals For Children-tampa,"Tampa, FL",,Unknown,417,287,15,18,229,6
918,Nemours Children's Hospital,"Orlando, FL",,Private,128,360,70,58,289,14
919,Hamilton Medical Center,"Dalton, GA",,Private,98,525,62,19,215,30
920,Upson Regional Medical Center,"Thomaston, GA",,Unknown,127,203,28,52,138,9
921,Memorial Satilla Health,"Waycross, GA",,Private,41,240,51,20,37,32
922,Northside Hospital Forsyth,"Cumming, GA",,Private,323,380,30,135,366,11
923,St Mary's Hospital,"Athens, GA",,Private,403,149,53,333,137,5
924,Phoebe Putney Memorial Hospital,"Albany, GA",,Government,233,408,71,229,102,17
925,Northside Hospital Cherokee,"Canton, GA",,Unknown,495,677,54,455,71,46
926,Emory University Hospital,"Atlanta, GA",,Private,136,145,70,52,97,55
927,Tanner Medical Center - Carrollton,"Carrollton, GA",,Government,462,635,6,222,376,6
928,Tanner Medical Center Villa Rica,"Villa Rica, GA",,Government,313,413,42,136,402,20
929,Wellstar West Georgia Medical Center,"Lagrange, GA",,Private,346,344,20,182,149,9
930,Piedmont Newton Hospital,"Covington, GA",,Private,120,530,66,100,80,15
931,Gordon Hospital,"Calhoun, GA",,Church,126,546,30,123,382,4
932,Candler Hospital,"Savannah, GA",,Unknown,15,197,57,11,37,44
933,Southeast Georgia Health System- Brunswick Campus,"Brunswick, GA",,Government,156,57,21,15,48,7
934,Elbert Memorial Hospital,"Elberton, GA",,Government,367,300,73,333,120,16
935,"St Mary's Sacred Heart Hospital, Inc","Lavonia, GA",,Private,386,566,60,113,412,7
936,University Hospital,"Augusta, GA",,Unknown,478,148,56,217,116,24
937,"Northeast Georgia Medical Center, Inc","Gainesville, GA",,Government,174,687,37,156,447,25
938,Cartersville Medical Center,"Cartersville, GA",,Private,409,629,23,14,393,17
939,Wellstar Spalding Regional Hospital,"Griffin, GA",,Proprietary,323,606,3,238,231,2
940,Stephens County Hospital,"Toccoa, GA",,Government,13,489,51,6,185,44
941,Au Medical Center,"Augusta, GA",,Unknown,21,421,32,9,173,29
942,Wellstar Kennestone Hospital,"Marietta, GA",,Government,358,436,21,291,428,14
943,Memorial Health University Medical Center,"Savannah, GA",,Unknown,415,696,4,18,46,2
944,John D Archbold Memorial Hospital,"Thomasville, GA",,Private,246,428,3,90,337,3
945,Northridge Medical Center,"Commerce, GA",,Government,498,295,69,284,78,24
946,Habersham County Medical Ctr,"Demorest, GA",,Government,391,123,6,203,117,3
947,Wellstar Paulding Hospital,"Hiram, GA",,Unknown,168,497,72,52,202,49
948,St Joseph's Hospital - Savannah,"Savannah, GA",,Private,70,636,60,42,50,43
949,Phoebe Sumter Medical Center,"Americus, GA",,Government,162,197,36,69,67,26
950,Northeast Georgia Medical Center Barrow,"Winder, GA",,Proprietary,296,316,30,92,33,29
951,"Piedmont Walton Hospital, Inc","Monroe, GA",,Proprietary,395,681,44,235,371,25
952,Murray Medical Center,"Chatsworth, GA",,Private,276,439,51,138,230,31
953,Union General Hospital,"Blairsville, GA",,Government,492,518,26,283,418,26
954,Floyd Medical Center,"Rome, GA",,Government,447,295,41,170,137,27
955,Piedmont Columbus Regional Midtown,"Columbus, GA",,Unknown,217,254,71,88,37,21
956,Houston Medical Center,"Warner Robins, GA",,Private,144,486,71,139,198,7
957,Appling Hospital,"Baxley, GA",,Government,66,544,67,41,512,19
958,Dorminy Medical Center,"Fitzgerald, GA",,Government,432,469,45,269,71,4
959,Piedmont Athens Regional Medical Center,"Athens, GA",,Unknown,402,677,1,263,102,1
960,East Georgia Regional Medical Center,"Statesboro, GA",,Proprietary,42,550,59,33,277,10
961,Dekalb Medical Center,"Decatur, GA",,Private,225,57,53,87,40,21
962,Emory University Hospital Midtown,"Atlanta, GA",,Private,85,578,33,31,435,30
963,Grady Memorial Hospital,"Atlanta, GA",,Unknown,374,185,32,178,167,32
964,"Saint Joseph's Hospital Of Atlanta, Inc","Atlanta, GA",,Private,184,690,37,92,348,34
965,Piedmont Hospital,"Atlanta, GA",,Private,275,522,61,5,391,5
966,Washington County Regional Medical Center,"Sandersville, GA",,Government,205,55,18,55,47,12
967,Gwinnett Medical Center,"Lawrenceville, GA",,Government,148,108,41,27,71,34
968,Coffee Regional Medical Center,"Douglas, GA",,Government,448,480,71,259,474,27
969,Piedmont Rockdale Hospital,"Conyers, GA",,Proprietary,318,134,60,228,36,22
970,Dodge County Hospital,"Eastman, GA",,Government,389,83,18,116,49,16
971,Tift Regional Medical Center,"Tifton, GA",,Government,406,286,4,35,154,4
972,Jefferson Hospital,"Louisville, GA",,Government,366,254,23,334,57,13
973,Cook  Medical Center  A Campus Of Tift Reg Med Ctr,"Adel, GA",,Proprietary,412,429,35,60,303,28
974,Crisp Regional Hospital,"Cordele, GA",,Government,412,586,33,197,362,17
975,Colquitt Regional Medical Center,"Moultrie, GA",,Government,223,470,38,204,324,11
976,"Medical Center, Navicent Health (the)","Macon, GA",,Government,32,86,15,26,63,4
977,Emanuel Medical Center,"Swainsboro, GA",,Government,224,520,25,54,308,22
978,University Hospital Mcduffie,"Thomson, GA",,Government,32,188,2,18,178,0
979,Burke Medical Center,"Waynesboro, GA",,Proprietary,240,51,2,39,49,0
980,Wellstar Atlanta Medical Center,"Atlanta, GA",,Proprietary,400,693,54,122,107,10
981,Grady General Hospital,"Cairo, GA",,Private,38,445,33,12,111,3
982,South Georgia Medical Center,"Valdosta, GA",,Government,63,507,57,49,399,43
983,Wayne Memorial Hospital,"Jesup, GA",,Government,128,130,35,33,92,19
984,Fairview Park Hospital,"Dublin, GA",,Proprietary,308,697,24,96,661,1
985,Meadows Regional Medical Center,"Vidalia, GA",,Proprietary,268,205,18,260,173,5
986,St Francis Hospital,"Columbus, GA",,Private,172,52,56,75,24,35
987,Irwin County Hospital,"Ocilla, GA",,Government,109,342,68,59,53,65
988,Memorial Hospital And Manor,"Bainbridge, GA",,Government,371,520,74,278,444,57
989,Taylor Regional Hospital,"Hawkinsville, GA",,Private,161,442,46,84,300,6
990,Evans Memorial Hospital,"Claxton, GA",,Government,465,478,58,193,65,30
991,Wellstar Cobb Hospital,"Austell, GA",,Unknown,206,306,28,10,169,10
992,Southeast Georgia Health System- Camden Campus,"Saint Marys, GA",,Government,69,536,37,29,39,22
993,Navicent Health Baldwin,"Milledgeville, GA",,Proprietary,69,224,36,53,152,0
994,Perry Hospital,"Perry, GA",,Private,48,660,19,37,260,1
995,Northside Hospital,"Atlanta, GA",,Private,165,167,14,79,6,13
996,Coliseum Medical Centers,"Macon, GA",,Private,380,463,51,79,259,30
997,Southern Regional Medical Center,"Riverdale, GA",,Private,329,148,15,59,40,15
998,Redmond Regional Medical Center,"Rome, GA",,Proprietary,159,288,37,33,49,23
999,Doctors Hospital,"Augusta, GA",,Proprietary,372,116,28,197,100,4
1000,Wellstar Douglas Hospital,"Douglasville, GA",,Private,273,118,13,226,92,3
1001,Chestatee Regional Hospital,"Dahlonega, GA",,Proprietary,429,582,10,234,331,0
1002,Fannin Regional Hospital,"Blue Ridge, GA",,Proprietary,36,414,40,19,99,1
1003,Flint River Community Hospital,"Montezuma, GA",,Private,143,142,67,99,26,49
1004,Piedmont Henry Hospital,"Stockbridge, GA",,Government,442,53,58,299,41,23
1005,Eastside Medical Center,"Snellville, GA",,Proprietary,479,491,52,5,17,10
1006,Donalsonville Hospital Inc,"Donalsonville, GA",,Private,450,574,11,67,391,7
1007,Wellstar North Fulton Hospital,"Roswell, GA",,Proprietary,475,536,11,191,332,10
1008,Piedmont Columbus Regional Northside,"Columbus, GA",,Proprietary,371,235,6,364,191,3
1009,Coliseum Northside Hospital,"Macon, GA",,Proprietary,315,211,55,217,179,46
1010,Turning Point Hospital,"Moultrie, GA",,Proprietary,417,163,39,175,105,9
1011,Piedmont Fayette Hospital,"Fayetteville, GA",,Private,360,637,30,117,500,17
1012,Piedmont Mountainside Hospital Inc,"Jasper, GA",,Unknown,70,221,69,8,152,41
1013,Dekalb Medical Center At Hillandale,"Lithonia, GA",,Government,341,45,27,229,7,0
1014,"Piedmont Newnan Hospital, Inc","Newnan, GA",,Private,118,617,69,46,350,16
1015,Emory Johns Creek Hospital,"Johns Creek, GA",,Proprietary,253,663,3,220,2,3
1016,Southeastern Regional Medical Center,"Newnan, GA",,Proprietary,153,171,14,85,10,2
1017,Sgmc Berrien Campus,"Nashville, GA",,Government,240,204,30,74,107,16
1018,Chi Memorial Hospital- Georgia,"Fort Oglethorpe, GA",,Proprietary,474,521,28,196,252,16
1019,Southwest Georgia Regional Medical Center,"Cuthbert, GA",,Government,461,227,76,356,77,32
1020,Bleckley Memorial Hospital,"Cochran, GA",,Government,492,672,59,89,161,40
1021,Jasper Memorial Hospital,"Monticello, GA",,Government,465,275,67,230,86,60
1022,Morgan Memorial Hospital,"Madison, GA",,Government,89,292,15,23,125,4
1023,Miller County Hospital,"Colquitt, GA",,Government,388,332,59,10,44,19
1024,Effingham Health System,"Springfield, GA",,Government,348,298,22,272,294,15
1025,Clinch Memorial Hospital,"Homerville, GA",,Government,29,241,68,17,134,68
1026,"Medical Center Of Peach County, Navicent Health","Byron, GA",,Government,29,109,3,24,34,3
1027,Jenkins County Medical Center,"Millen, GA",,Proprietary,30,65,31,19,45,24
1028,Optim Medical Center - Screven,"Sylvania, GA",,Proprietary,33,567,17,4,368,9
1029,Putnam General Hospital,"Eatonton, GA",,Government,73,661,32,3,407,0
1030,Lifebrite Community Hospital Of Early,"Blakely, GA",,Private,180,91,53,13,17,20
1031,Warm Springs Medical Center,"Warm Springs, GA",,Unknown,391,275,74,208,40,5
1032,Monroe County Hospital,"Forsyth, GA",,Government,417,215,54,408,32,34
1033,Wellstar Sylvan Grove Hospital,"Jackson, GA",,Government,47,416,68,25,310,0
1034,Higgins General Hospital,"Bremen, GA",,Government,238,279,51,69,201,49
1035,Optim Medical Center - Tattnall,"Reidsville, GA",,Proprietary,220,493,34,215,438,18
1036,Chatuge Regional Hospital,"Hiawassee, GA",,Government,281,82,57,213,20,49
1037,Wills Memorial Hospital,"Washington, GA",,Government,317,55,43,196,9,0
1038,Sgmc Lanier Campus,"Lakeland, GA",,Government,339,617,26,292,62,4
1039,Bacon County Hospital,"Alma, GA",,Unknown,490,190,33,130,30,17
1040,Phoebe Worth Medical Center,"Sylvester, GA",,Private,230,111,77,209,33,72
1041,St Mary's Good Samaritan Hospital,"Greensboro, GA",,Proprietary,371,408,52,36,407,0
1042,Polk Medical Center,"Cedartown, GA",,Private,234,477,53,216,153,32
1043,Mitchell County Hospital,"Camilla, GA",,Government,309,366,38,48,87,24
1044,Brooks County Hospital,"Quitman, GA",,Government,487,220,29,96,72,4
1045,Jeff Davis Hospital,"Hazlehurst, GA",,Government,103,261,40,29,182,12
1046,Candler County Hospital,"Metter, GA",,Government,304,512,20,208,416,4
1047,Liberty Regional Medical Center,"Hinesville, GA",,Government,434,105,74,33,85,57
1048,Mountain Lakes Medical Center,"Clayton, GA",,Proprietary,96,670,49,76,332,27
1049,Children's Healthcare Of Atlanta At Egleston,"Atlanta, GA",,Unknown,122,324,62,114,181,1
1050,Children's Healthcare Of Atlanta At Scottish Rite,"Atlanta, GA",,Unknown,215,106,64,88,33,10
1051,The Queens Medical Center,"Honolulu, HI",,Private,443,254,33,262,104,17
1052,Maui Memorial Medical Center,"Wailuku, HI",,Government,437,526,13,118,165,13
1053,Wahiawa General Hospital,"Wahiawa, HI",,Private,254,79,16,88,54,8
1054,Hilo Medical Center,"Hilo, HI",,Government,414,527,25,207,69,16
1055,Adventist Health Castle,"Kailua, HI",,Church,51,650,72,41,102,16
1056,Kuakini Medical Center,"Honolulu, HI",,Private,218,162,36,79,17,2
1057,Kaiser Foundation Hospital,"Honolulu, HI",,Private,2,394,40,1,74,34
1058,Wilcox Memorial Hospital,"Lihue, HI",,Government,243,667,34,229,396,22
1059,Kona Community Hospital,"Kealakekua, HI",,Government,223,247,56,51,127,17
1060,Straub Clinic And Hospital,"Honolulu, HI",,Proprietary,27,531,37,2,178,1
1061,Pali Momi Medical Center,"Aiea, HI",,Proprietary,138,365,9,16,223,6
1062,North Hawaii Community Hospital,"Kamuela, HI",,Private,500,120,75,395,76,23
1063,Kauai Veterans Memorial Hospital,"Waimea, HI",,Government,336,523,38,232,33,38
1064,Kau Hospital,"Pahala, HI",,Government,191,154,17,121,66,1
1065,Kohala Hospital,"Kapaau, HI",,Government,103,627,75,85,249,17
1066,Molokai General Hospital,"Kaunakakai, HI",,Private,477,92,62,46,48,49
1067,Kahuku Medical Center,"Kahuku, HI",,Unknown,109,223,41,23,106,9
1068,Lanai Community Hospital,"Lanai City, HI",,Government,450,497,45,379,69,17
1069,Samuel Mahelona Memorial Hospital,"Kapaa, HI",,Government,334,198,52,131,133,20
1070,Hale Ho'ola Hamakua,"Honokaa, HI",,Government,131,446,47,99,288,3
1071,Kula Hospital,"Kula, HI",,Government,232,648,75,136,568,70
1072,Kapiolani Medical Center For Women & Children,"Honolulu, HI",,Private,279,99,49,241,64,18
1073,Shriners Hospital For Children,"Honolulu, HI",,Private,392,464,18,211,373,12
1074,St Luke's Magic Valley Rmc,"Twin Falls, ID",,Private,430,545,43,78,101,16
1075,St Joseph Regional Medical Center,"Lewiston, ID",,Private,82,284,63,28,27,35
1076,St Luke's Regional Medical Center,"Boise, ID",,Private,403,421,69,282,239,66
1077,Saint Alphonsus Regional Medical Center,"Boise, ID",,Church,355,661,39,348,312,1
1078,Saint Alphonsus Medical Center - Nampa,"Nampa, ID",,Church,372,375,32,105,256,16
1079,West Valley Medical Center,"Caldwell, ID",,Proprietary,80,247,2,62,89,2
1080,Eastern Idaho Regional Medical Center,"Idaho Falls, ID",,Proprietary,479,259,35,287,166,8
1081,Madison Memorial Hospital,"Rexburg, ID",,Government,441,274,54,103,148,13
1082,Portneuf Medical Center,"Pocatello, ID",,Proprietary,194,155,77,98,134,45
1083,Kootenai Health,"Coeur D'alene, ID",,Government,321,697,4,72,587,1
1084,Treasure Valley Hospital,"Boise, ID",,Proprietary,35,645,18,24,173,9
1085,Mountain View Hospital,"Idaho Falls, ID",,Unknown,461,613,2,311,257,1
1086,Northwest Specialty Hospital,"Post Falls, ID",,Proprietary,495,383,42,347,215,33
1087,Idaho Doctors Hospital,"Blackfoot, ID",,Proprietary,241,366,60,111,225,38
1088,St Luke's Nampa Medical Center,"Nampa, ID",,Private,80,320,42,37,54,37
1089,Boundary Community Hospital,"Bonners Ferry, ID",,Unknown,140,503,73,66,177,71
1090,North Canyon Medical Center,"Gooding, ID",,Private,242,676,38,130,422,36
1091,Nell J Redfield Memorial Hospital,"Malad, ID",,Government,331,380,69,133,290,40
1092,Power County Hospital District,"American Falls, ID",,Government,242,377,24,3,245,18
1093,Steele Memorial Medical Center,"Salmon, ID",,Government,299,39,73,177,24,73
1094,Weiser Memorial Hospital,"Weiser, ID",,Government,83,237,59,39,26,54
1095,Cascade Medical Center,"Cascade, ID",,Government,192,236,65,76,60,13
1096,Caribou Memorial Hospital,"Soda Springs, ID",,Government,117,456,25,49,52,7
1097,St Luke's Jerome,"Jerome, ID",,Private,342,344,70,99,255,3
1098,St Luke's Elmore Medical Center,"Mountain Home, ID",,Private,320,380,61,296,223,25
1099,St Luke's Mccall,"Mc Call, ID",,Private,257,75,53,187,17,4
1100,Teton Valley Hospital,"Driggs, ID",,Private,445,344,40,439,81,38
1101,Shoshone Medical Center,"Kellogg, ID",,Government,258,41,15,180,5,14
1102,Syringa General Hospital,"Grangeville, ID",,Government,23,197,8,16,45,0
1103,Bear Lake Memorial Hospital,"Montpelier, ID",,Government,151,445,3,36,126,1
1104,Benewah Community Hospital,"St Maries, ID",,Government,168,178,62,17,30,52
1105,Valor Health,"Emmett, ID",,Government,365,400,47,151,271,32
1106,Minidoka Memorial Hospital,"Rupert, ID",,Government,66,293,60,19,38,9
1107,Clearwater Valley Hospital & Clinics,"Orofino, ID",,Private,85,216,54,60,189,25
1108,St Mary's Hospital,"Cottonwood, ID",,Private,477,95,50,435,24,16
1109,Franklin County Medical Center,"Preston, ID",,Government,86,166,51,57,94,3
1110,St Luke's Wood River Medical Center,"Ketchum, ID",,Private,362,536,54,235,186,43
1111,Lost Rivers Medical Center,"Arco, ID",,Government,404,367,69,138,141,69
1112,Bingham Memorial Hospital,"Blackfoot, ID",,Private,188,185,49,55,53,31
1113,Cassia Regional Hospital,"Burley, ID",,Private,115,406,34,52,48,8
1114,Gritman Medical Center,"Moscow, ID",,Private,54,338,62,23,126,8
1115,Bonner General Hospital,"Sandpoint, ID",,Private,253,455,73,42,283,22
1116,Graham Hospital Association,"Canton, IL",,Unknown,398,630,52,206,580,32
1117,Alton Memorial Hospital,"Alton, IL",,Private,416,510,17,301,65,10
1118,Presence Saint Joseph Medical Center,"Joliet, IL",,Church,146,574,54,59,329,10
1119,Loyola Gottlieb Memorial Hospital,"Melrose Park, IL",,Private,129,374,2,89,52,1
1120,Northshore University Healthsystem Evanston Hosp,"Evanston, IL",,Unknown,17,414,35,9,11,17
1121,Herrin Hospital,"Herrin, IL",,Private,495,671,75,193,569,35
1122,Katherine Shaw Bethea Hospital,"Dixon, IL",,Private,414,325,29,191,240,27
1123,Proctor Hospital,"Peoria, IL",,Private,110,177,69,95,148,28
1124,Blessing Hospital,"Quincy, IL",,Private,73,631,5,5,215,4
1125,Mt Sinai Hospital Medical Center,"Chicago, IL",,Private,80,195,75,38,170,37
1126,Hshs Good Shepherd Hospital Inc,"Shelbyville, IL",,Private,191,189,6,32,67,1
1127,Copley Memorial Hospital,"Aurora, IL",,Private,204,167,37,99,166,5
1128,Sherman Hospital,"Elgin, IL",,Private,209,184,55,143,12,8
1129,St Anthonys Memorial Hospital,"Effingham, IL",,Church,359,433,30,68,385,18
1130,Lake Behavioral Hospital,"Waukegan, IL",,Proprietary,12,107,71,8,102,34
1131,Ssm Health St Mary's Hospital -centralia,"Centralia, IL",,Church,147,243,61,110,125,13
1132,Galesburg Cottage Hospital,"Galesburg, IL",,Proprietary,51,102,25,40,90,12
1133,Cgh Medical Center,"Sterling, IL",,Government,85,164,5,35,136,5
1134,Good Samaritan Regional Hlth Center,"Mount Vernon, IL",,Private,98,207,76,30,70,18
1135,Advocate Trinity Hospital,"Chicago, IL",,Unknown,421,222,37,235,44,27
1136,West Suburban Medical Center,"Oak Park, IL",,Unknown,373,529,8,151,473,5
1137,Osf Saint Anthony's Health Center,"Alton, IL",,Church,381,350,29,298,101,12
1138,St Johns Hospital,"Springfield, IL",,Church,106,147,54,77,129,48
1139,Macneal  Hospital,"Berwyn, IL",,Proprietary,145,303,19,49,76,9
1140,Passavant Area Hospital,"Jacksonville, IL",,Private,366,370,18,137,98,8
1141,Jersey Community Hospital,"Jerseyville, IL",,Government,406,185,23,85,12,2
1142,Palos Community Hospital,"Palos Heights, IL",,Private,115,370,59,45,290,26
1143,Rush Oak Park Hospital,"Oak Park, IL",,Church,184,48,71,53,36,25
1144,St Mary Medical Center,"Galesburg, IL",,Church,10,533,54,6,120,36
